user_id,zone_date,zone_focus,zone_calm,zone_posture,create_date,update_date
spaceship,2016/04/28 10:03:00,27,23,55,38:15.9,38:15.9
spaceship,2016/04/28 10:04:00,46,49,71,38:15.9,38:15.9
spaceship,2016/04/28 10:05:00,38,65,80,38:15.9,38:15.9
spaceship,2016/04/28 10:06:00,48,78,87,38:15.9,38:15.9
spaceship,2016/04/28 10:07:00,44,44,36,38:15.9,38:15.9
spaceship,2016/04/28 10:08:00,65,87,65,38:15.9,38:15.9
spaceship,2016/04/28 10:09:00,38,92,72,38:15.9,38:15.9
spaceship,2016/04/28 10:10:00,34,95,61,38:15.9,38:15.9
spaceship,2016/04/28 10:11:00,26,55,38,38:15.9,38:15.9
spaceship,2016/04/28 10:12:00,46,62,17,38:15.9,38:15.9
spaceship,2016/04/28 10:22:00,100,100,36,38:15.9,38:15.9
spaceship,2016/04/28 10:23:00,20,73,37,38:15.9,38:15.9
spaceship,2016/04/28 10:24:00,30,68,46,38:15.9,38:15.9
spaceship,2016/04/28 10:25:00,13,83,65,38:15.9,38:15.9
spaceship,2016/04/28 10:26:00,14,74,74,38:15.9,38:15.9
spaceship,2016/04/28 10:27:00,12,64,60,38:15.9,38:15.9
spaceship,2016/04/28 10:28:00,31,65,68,38:15.9,38:15.9
spaceship,2016/04/28 10:29:00,15,47,61,38:15.9,38:15.9
spaceship,2016/04/28 10:30:00,25,90,64,38:15.9,38:15.9
spaceship,2016/04/28 10:31:00,27,79,71,38:15.9,38:15.9
spaceship,2016/04/28 10:32:00,36,78,51,38:15.9,38:15.9
spaceship,2016/04/28 10:33:00,53,45,59,38:15.9,38:15.9
spaceship,2016/04/28 10:34:00,45,4,44,38:15.9,38:15.9
spaceship,2016/04/28 10:35:00,40,90,80,38:15.9,38:15.9
spaceship,2016/04/28 10:36:00,35,75,88,38:15.9,38:15.9
spaceship,2016/04/28 10:37:00,32,71,81,40:18.5,40:18.5
spaceship,2016/04/28 10:38:00,23,76,82,40:18.5,40:18.5
spaceship,2016/04/28 10:39:00,38,78,88,40:57.8,40:57.8
spaceship,2016/04/28 10:40:00,16,100,70,52:33.5,52:33.5
spaceship,2016/04/28 10:41:00,36,72,86,52:33.5,52:33.5
spaceship,2016/04/28 10:42:00,25,91,86,52:33.5,52:33.5
spaceship,2016/04/28 10:43:00,29,78,89,52:33.5,52:33.5
spaceship,2016/04/28 10:44:00,35,84,93,52:33.5,52:33.5
spaceship,2016/04/28 10:45:00,25,32,74,52:33.5,52:33.5
spaceship,2016/04/28 10:46:00,21,37,58,52:33.5,52:33.5
spaceship,2016/04/28 10:47:00,22,62,49,52:33.5,52:33.5
spaceship,2016/04/28 10:48:00,59,81,45,52:33.5,52:33.5
spaceship,2016/04/28 10:49:00,72,98,63,52:33.5,52:33.5
spaceship,2016/04/28 10:50:00,34,93,74,52:33.5,52:33.5
spaceship,2016/04/28 10:51:00,49,85,68,52:33.5,52:33.5
spaceship,2016/04/28 10:52:00,23,83,23,54:26.9,54:26.9
spaceship,2016/04/28 10:55:00,24,73,92,54:27.0,54:27.0
spaceship,2016/04/28 10:56:00,30,58,81,54:27.0,54:27.0
spaceship,2016/04/28 10:57:00,51,83,50,54:27.0,54:27.0
spaceship,2016/04/28 10:58:00,75,64,47,54:27.0,54:27.0
spaceship,2016/04/28 10:59:00,35,52,40,54:27.0,54:27.0
spaceship,2016/04/28 11:00:00,28,56,45,54:27.0,54:27.0
spaceship,2016/04/28 11:01:00,25,83,57,54:27.0,54:27.0
spaceship,2016/04/28 11:02:00,34,61,65,54:27.0,54:27.0
spaceship,2016/04/28 11:03:00,58,83,82,54:27.0,54:27.0
spaceship,2016/04/28 11:04:00,27,80,90,54:27.0,54:27.0
spaceship,2016/04/28 11:05:00,59,84,76,54:27.0,54:27.0
spaceship,2016/04/28 11:06:00,36,84,81,54:27.0,54:27.0
spaceship,2016/04/28 11:07:00,43,63,73,54:27.0,54:27.0
spaceship,2016/04/28 11:08:00,33,92,66,54:27.0,54:27.0
spaceship,2016/04/28 11:09:00,69,81,38,54:27.0,54:27.0
spaceship,2016/04/28 11:10:00,24,95,56,54:27.0,54:27.0
spaceship,2016/04/28 11:11:00,26,87,60,54:27.0,54:27.0
spaceship,2016/04/28 11:12:00,17,82,69,54:27.0,54:27.0
spaceship,2016/04/28 11:13:00,27,65,59,54:27.0,54:27.0
spaceship,2016/04/28 11:14:00,29,88,73,54:27.0,54:27.0
spaceship,2016/04/28 11:15:00,53,81,50,54:27.0,54:27.0
spaceship,2016/04/28 11:16:00,40,96,70,54:27.0,54:27.0
spaceship,2016/04/28 11:17:00,48,67,71,54:27.0,54:27.0
spaceship,2016/04/28 11:18:00,46,76,77,54:27.0,54:27.0
spaceship,2016/04/28 11:19:00,58,66,78,54:27.0,54:27.0
spaceship,2016/04/28 11:20:00,35,81,87,54:27.0,54:27.0
spaceship,2016/04/28 11:21:00,29,73,70,54:27.0,54:27.0
spaceship,2016/04/28 11:22:00,40,64,79,54:27.0,54:27.0
spaceship,2016/04/28 11:23:00,34,64,83,54:27.0,54:27.0
spaceship,2016/04/28 11:24:00,47,98,83,54:27.0,54:27.0
spaceship,2016/04/28 11:25:00,30,61,64,54:27.0,54:27.0
spaceship,2016/04/28 11:26:00,37,65,71,54:27.0,54:27.0
spaceship,2016/04/28 11:27:00,43,33,44,54:27.0,54:27.0
spaceship,2016/04/28 11:28:00,34,65,59,54:27.0,54:27.0
spaceship,2016/04/28 11:29:00,25,58,38,54:27.0,54:27.0
spaceship,2016/04/28 11:30:00,24,76,28,54:27.0,54:27.0
spaceship,2016/04/28 11:31:00,100,100,20,54:27.0,54:27.0
spaceship,2016/04/28 11:32:00,47,80,43,54:27.0,54:27.0
spaceship,2016/04/28 11:33:00,55,91,58,54:27.0,54:27.0
spaceship,2016/04/28 11:34:00,62,78,70,54:27.0,54:27.0
spaceship,2016/04/28 11:35:00,27,98,81,54:27.0,54:27.0
spaceship,2016/04/28 11:38:00,100,89,79,54:27.0,54:27.0
spaceship,2016/04/28 11:39:00,24,97,77,54:27.0,54:27.0
spaceship,2016/04/28 11:40:00,26,99,79,54:27.0,54:27.0
spaceship,2016/04/28 11:41:00,24,71,84,54:27.0,54:27.0
spaceship,2016/04/28 11:42:00,18,60,65,54:27.0,54:27.0
spaceship,2016/04/28 11:43:00,20,93,80,54:27.0,54:27.0
spaceship,2016/04/28 11:44:00,19,79,86,54:27.0,54:27.0
spaceship,2016/04/28 11:45:00,25,94,82,54:27.0,54:27.0
spaceship,2016/04/28 11:46:00,32,72,76,54:27.0,54:27.0
spaceship,2016/04/28 11:47:00,24,67,80,54:27.0,54:27.0
spaceship,2016/04/28 11:48:00,39,87,79,54:27.0,54:27.0
spaceship,2016/04/28 11:49:00,37,76,84,54:27.0,54:27.0
spaceship,2016/04/28 11:50:00,51,59,88,54:27.0,54:27.0
spaceship,2016/04/28 11:51:00,43,75,84,54:27.0,54:27.0
spaceship,2016/04/28 11:52:00,23,63,88,54:27.0,54:27.0
spaceship,2016/04/28 11:53:00,51,74,92,54:27.0,54:27.0
spaceship,2016/04/28 11:54:00,32,76,69,56:37.7,56:37.7
spaceship,2016/04/28 11:55:00,50,66,32,57:34.0,57:34.0
spaceship,2016/04/28 13:56:00,9,100,75,57:34.0,57:34.0
spaceship,2016/04/28 13:57:00,34,80,47,22:03.6,22:03.6
spaceship,2016/04/28 13:58:00,34,68,35,22:03.6,22:03.6
spaceship,2016/04/28 13:59:00,34,68,44,22:03.6,22:03.6
spaceship,2016/04/28 14:00:00,30,21,59,22:03.6,22:03.6
spaceship,2016/04/28 14:01:00,33,97,74,22:03.6,22:03.6
spaceship,2016/04/28 14:02:00,36,86,66,22:03.6,22:03.6
spaceship,2016/04/28 14:03:00,52,69,65,22:03.6,22:03.6
spaceship,2016/04/28 14:04:00,42,65,63,22:03.6,22:03.6
spaceship,2016/04/28 14:05:00,30,43,49,22:03.6,22:03.6
spaceship,2016/04/28 14:06:00,44,35,70,22:03.6,22:03.6
spaceship,2016/04/28 14:07:00,17,23,58,22:03.6,22:03.6
spaceship,2016/04/28 14:08:00,21,27,52,22:03.6,22:03.6
spaceship,2016/04/28 14:09:00,36,57,48,22:03.6,22:03.6
spaceship,2016/04/28 14:10:00,26,79,58,22:03.6,22:03.6
spaceship,2016/04/28 14:11:00,53,40,61,22:03.6,22:03.6
spaceship,2016/04/28 14:12:00,29,60,50,22:03.6,22:03.6
spaceship,2016/04/28 14:13:00,27,90,51,22:03.6,22:03.6
spaceship,2016/04/28 14:14:00,43,89,83,22:03.6,22:03.6
spaceship,2016/04/28 14:15:00,50,89,66,22:03.6,22:03.6
spaceship,2016/04/28 14:16:00,48,96,68,22:03.6,22:03.6
spaceship,2016/04/28 14:17:00,51,99,75,22:03.6,22:03.6
spaceship,2016/04/28 14:18:00,30,97,72,22:03.6,22:03.6